ticker,sector,size_tier
A,Health Care,large
AA,Materials,mid
AAL,Industrials,mid
AAMI,Financials,small
AAON,Industrials,mid
AAP,Consumer Discretionary,small
AAPL,Information Technology,large
AAT,Real Estate,small
ABBV,Health Care,large
ABCB,Financials,small
ABG,Consumer Discretionary,small
ABM,Industrials,small
ABNB,Consumer Discretionary,large
ABR,Financials,small
ABT,Health Care,large
ACA,Industrials,small
ACAD,Health Care,small
ACGL,Financials,large
ACHC,Health Care,small
ACI,Consumer Staples,mid
ACIW,Information Technology,small
ACLS,Information Technology,small
ACM,Industrials,mid
ACMR,Information Technology,small
ACN,Information Technology,large
ACT,Financials,small
ADAM,Real Estate,small
ADBE,Information Technology,large
ADC,Real Estate,mid
ADEA,Information Technology,small
ADI,Information Technology,large
ADM,Consumer Staples,large
ADMA,Health Care,small
ADNT,Consumer Discretionary,small
ADP,Industrials,large
ADSK,Information Technology,large
ADT,Consumer Discretionary,small
ADUS,Health Care,small
AEE,Utilities,large
AEIS,Information Technology,mid
AEO,Consumer Discretionary,small
AEP,Utilities,large
AES,Utilities,large
AESI,Energy,small
AFG,Financials,mid
AFL,Financials,large
AGCO,Industrials,mid
AGNT,Real Estate,small
AGO,Financials,small
AGX,Industrials,small
AGYS,Information Technology,small
AHCO,Health Care,small
AHR,Real Estate,mid
AIG,Financials,large
AIN,Industrials,small
AIR,Industrials,small
AIT,Industrials,mid
AIZ,Financials,large
AJG,Financials,large
AKAM,Information Technology,large
AKR,Real Estate,small
ALB,Materials,large
ALG,Industrials,small
ALGM,Information Technology,mid
ALGN,Health Care,large
ALGT,Industrials,small
ALHC,Health Care,small
ALK,Industrials,mid
ALKS,Health Care,small
ALL,Financials,large
ALLE,Industrials,large
ALLY,Financials,mid
ALRM,Financials,small
ALSN,Industrials,mid
ALV,Consumer Discretionary,mid
AM,Energy,mid
AMAT,Information Technology,large
AMCR,Materials,large
AMD,Information Technology,large
AME,Industrials,large
AMG,Financials,mid
AMGN,Health Care,large
AMH,Real Estate,mid
AMKR,Information Technology,mid
AMN,Health Care,small
AMP,Financials,large
AMPH,Health Care,small
AMR,Materials,small
AMRX,Health Care,small
AMSF,Financials,small
AMT,Real Estate,large
AMTM,Industrials,small
AMZN,Consumer Discretionary,large
AN,Consumer Discretionary,mid
ANDE,Consumer Staples,small
ANET,Information Technology,large
ANF,Consumer Discretionary,mid
ANIP,Health Care,small
AON,Financials,large
AORT,Health Care,small
AOS,Industrials,large
AOSL,Information Technology,small
APA,Energy,large
APAM,Financials,small
APD,Materials,large
APG,Industrials,mid
APH,Information Technology,large
APLE,Real Estate,small
APO,Financials,large
