ticker,sector
A,Health Care
AAPL,Information Technology
ABBV,Health Care
ABNB,Consumer Discretionary
ABT,Health Care
ACGL,Financials
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
ADM,Consumer Staples
ADP,Industrials
ADSK,Information Technology
AEE,Utilities
AEP,Utilities
AES,Utilities
AFL,Financials
AIG,Financials
AIZ,Financials
AJG,Financials
AKAM,Information Technology
ALB,Materials
ALGN,Health Care
ALL,Financials
ALLE,Industrials
AMAT,Information Technology
AMCR,Materials
AMD,Information Technology
AME,Industrials
AMGN,Health Care
AMP,Financials
AMT,Real Estate
AMZN,Consumer Discretionary
ANET,Information Technology
AON,Financials
AOS,Industrials
APA,Energy
APD,Materials
APH,Information Technology
APO,Financials
APP,Information Technology
APTV,Consumer Discretionary
ARE,Real Estate
ARES,Financials
ATO,Utilities
AVB,Real Estate
AVGO,Information Technology
AVY,Materials
AWK,Utilities
AXON,Industrials
AXP,Financials
AZO,Consumer Discretionary
BA,Industrials
BAC,Financials
BALL,Materials
BAX,Health Care
BBY,Consumer Discretionary
BDX,Health Care
BEN,Financials
BF-B,Consumer Staples
BG,Consumer Staples
BIIB,Health Care
BKNG,Consumer Discretionary
BKR,Energy
BLDR,Industrials
BLK,Financials
BMY,Health Care
BNY,Financials
BR,Industrials
BRK-B,Financials
BRO,Financials
BSX,Health Care
BX,Financials
BXP,Real Estate
C,Financials
CAH,Health Care
CARR,Industrials
CASY,Consumer Staples
CAT,Industrials
CB,Financials
CBOE,Financials
CBRE,Real Estate
CCI,Real Estate
CCL,Consumer Discretionary
CDNS,Information Technology
CDW,Information Technology
CEG,Utilities
CF,Materials
CFG,Financials
CHD,Consumer Staples
CHRW,Industrials
CHTR,Communication Services
CI,Health Care
CIEN,Information Technology
CINF,Financials
CL,Consumer Staples
CLX,Consumer Staples
CMCSA,Communication Services
CME,Financials
CMG,Consumer Discretionary
CMI,Industrials
CMS,Utilities
CNC,Health Care
CNP,Utilities
COF,Financials
COHR,Information Technology
COIN,Financials
COO,Health Care
COP,Energy
COR,Health Care
COST,Consumer Staples
CPAY,Financials
CPRT,Industrials
CPT,Real Estate
CRH,Materials
CRL,Health Care
CRM,Information Technology
CRWD,Information Technology
CSCO,Information Technology
CSGP,Real Estate
CSX,Industrials
CTAS,Industrials
CTSH,Information Technology
CTVA,Materials
CVNA,Consumer Discretionary
CVS,Health Care
CVX,Energy
D,Utilities
DAL,Industrials
DASH,Consumer Discretionary
DD,Materials
DDOG,Information Technology
DE,Industrials
DECK,Consumer Discretionary
DELL,Information Technology
DG,Consumer Staples
DGX,Health Care
DHI,Consumer Discretionary
DHR,Health Care
DIS,Communication Services
DLR,Real Estate
DLTR,Consumer Staples
DOC,Real Estate
DOV,Industrials
DOW,Materials
DPZ,Consumer Discretionary
DRI,Consumer Discretionary
DTE,Utilities
DUK,Utilities
DVA,Health Care
DVN,Energy
DXCM,Health Care
EA,Communication Services
EBAY,Consumer Discretionary
ECHO,Communication Services
ECL,Materials
ED,Utilities
EFX,Industrials
EG,Financials
EIX,Utilities
EL,Consumer Staples
ELV,Health Care
EME,Industrials
EMR,Industrials
EOG,Energy
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERIE,Financials
ES,Utilities
ESS,Real Estate
ETN,Industrials
ETR,Utilities
EVRG,Utilities
EW,Health Care
EXC,Utilities
EXE,Energy
EXPD,Industrials
EXPE,Consumer Discretionary
EXR,Real Estate
F,Consumer Discretionary
FANG,Energy
FAST,Industrials
FCX,Materials
FDS,Financials
FDX,Industrials
FDXF,Industrials
FE,Utilities
FFIV,Information Technology
FICO,Information Technology
FIS,Financials
FISV,Financials
FITB,Financials
FIX,Industrials
FLEX,Information Technology
FOX,Communication Services
FOXA,Communication Services
FRT,Real Estate
FSLR,Information Technology
FTNT,Information Technology
FTV,Industrials
GD,Industrials
GDDY,Information Technology
GE,Industrials
GEHC,Health Care
GEN,Information Technology
GEV,Industrials
GILD,Health Care
GIS,Consumer Staples
GL,Financials
GLW,Information Technology
GM,Consumer Discretionary
GNRC,Industrials
GOOG,Communication Services
GOOGL,Communication Services
GPC,Consumer Discretionary
GPN,Financials
GRMN,Consumer Discretionary
GS,Financials
GWW,Industrials
HAL,Energy
HAS,Consumer Discretionary
HBAN,Financials
HCA,Health Care
HD,Consumer Discretionary
HIG,Financials
HII,Industrials
HLT,Consumer Discretionary
HON,Industrials
HONA,Industrials
HOOD,Financials
HPE,Information Technology
HPQ,Information Technology
HRL,Consumer Staples
HSIC,Health Care
HST,Real Estate
HSY,Consumer Staples
HUBB,Industrials
HUM,Health Care
HWM,Industrials
IBKR,Financials
IBM,Information Technology
ICE,Financials
IDXX,Health Care
IEX,Industrials
IFF,Materials
INCY,Health Care
INTC,Information Technology
INTU,Information Technology
INVH,Real Estate
IP,Materials
IQV,Health Care
IR,Industrials
IRM,Real Estate
ISRG,Health Care
IT,Information Technology
ITW,Industrials
IVZ,Financials
J,Industrials
JBHT,Industrials
JBL,Information Technology
JCI,Industrials
JKHY,Financials
JNJ,Health Care
JPM,Financials
KDP,Consumer Staples
KEY,Financials
KEYS,Information Technology
KHC,Consumer Staples
KIM,Real Estate
KKR,Financials
KLAC,Information Technology
KMB,Consumer Staples
KMI,Energy
KO,Consumer Staples
KR,Consumer Staples
KVUE,Consumer Staples
L,Financials
LDOS,Industrials
LEN,Consumer Discretionary
LH,Health Care
LHX,Industrials
LII,Industrials
LIN,Materials
LITE,Information Technology
LLY,Health Care
LMT,Industrials
LNT,Utilities
LOW,Consumer Discretionary
LRCX,Information Technology
LULU,Consumer Discretionary
LUV,Industrials
LVS,Consumer Discretionary
LYB,Materials
LYV,Communication Services
MA,Financials
MAA,Real Estate
MAR,Consumer Discretionary
MAS,Industrials
MCD,Consumer Discretionary
MCHP,Information Technology
MCK,Health Care
MCO,Financials
MDLZ,Consumer Staples
MDT,Health Care
MET,Financials
META,Communication Services
MGM,Consumer Discretionary
MKC,Consumer Staples
MLM,Materials
MMM,Industrials
MNST,Consumer Staples
MO,Consumer Staples
MOS,Materials
MPC,Energy
MPWR,Information Technology
MRK,Health Care
MRNA,Health Care
MRSH,Financials
MRVL,Information Technology
MS,Financials
MSCI,Financials
MSFT,Information Technology
MSI,Information Technology
MTB,Financials
MTD,Health Care
MU,Information Technology
NCLH,Consumer Discretionary
NDAQ,Financials
NDSN,Industrials
NEE,Utilities
NEM,Materials
NFLX,Communication Services
NI,Utilities
NKE,Consumer Discretionary
NOC,Industrials
NOW,Information Technology
NRG,Utilities
NSC,Industrials
NTAP,Information Technology
NTRS,Financials
NUE,Materials
NVDA,Information Technology
NVR,Consumer Discretionary
NWS,Communication Services
NWSA,Communication Services
NXPI,Information Technology
O,Real Estate
ODFL,Industrials
OKE,Energy
OMC,Communication Services
ON,Information Technology
ORCL,Information Technology
ORLY,Consumer Discretionary
OTIS,Industrials
OXY,Energy
PANW,Information Technology
PAYX,Industrials
PCAR,Industrials
PCG,Utilities
PEG,Utilities
PEP,Consumer Staples
PFE,Health Care
PFG,Financials
PG,Consumer Staples
PGR,Financials
PH,Industrials
PHM,Consumer Discretionary
PKG,Materials
PLD,Real Estate
PLTR,Information Technology
PM,Consumer Staples
PNC,Financials
PNR,Industrials
PNW,Utilities
PODD,Health Care
PPG,Materials
PPL,Utilities
PRU,Financials
PSA,Real Estate
PSKY,Communication Services
PSX,Energy
PTC,Information Technology
PWR,Industrials
PYPL,Financials
Q,Information Technology
QCOM,Information Technology
RCL,Consumer Discretionary
REG,Real Estate
REGN,Health Care
RF,Financials
RJF,Financials
RL,Consumer Discretionary
RMD,Health Care
ROK,Industrials
ROL,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RSG,Industrials
RTX,Industrials
RVTY,Health Care
SBAC,Real Estate
SBUX,Consumer Discretionary
SCHW,Financials
SHW,Materials
SJM,Consumer Staples
SLB,Energy
SMCI,Information Technology
SNA,Industrials
SNDK,Information Technology
SNPS,Information Technology
SO,Utilities
SOLV,Health Care
SPG,Real Estate
SPGI,Financials
SRE,Utilities
STE,Health Care
STLD,Materials
STT,Financials
STX,Information Technology
STZ,Consumer Staples
SW,Materials
SWK,Industrials
SWKS,Information Technology
SYF,Financials
SYK,Health Care
SYY,Consumer Staples
T,Communication Services
TAP,Consumer Staples
TDG,Industrials
TDY,Information Technology
TECH,Health Care
TEL,Information Technology
TER,Information Technology
TFC,Financials
TGT,Consumer Staples
TJX,Consumer Discretionary
TKO,Communication Services
TMO,Health Care
TMUS,Communication Services
TPL,Energy
TPR,Consumer Discretionary
TRGP,Energy
TRMB,Information Technology
TROW,Financials
TRV,Financials
TSCO,Consumer Discretionary
TSLA,Consumer Discretionary
TSN,Consumer Staples
TT,Industrials
TTD,Communication Services
TTWO,Communication Services
TXN,Information Technology
TXT,Industrials
TYL,Information Technology
UAL,Industrials
UBER,Industrials
UDR,Real Estate
UHS,Health Care
ULTA,Consumer Discretionary
UNH,Health Care
UNP,Industrials
UPS,Industrials
URI,Industrials
USB,Financials
V,Financials
VEEV,Health Care
VICI,Real Estate
